NO_OF_FRAMES	5823
NO_OF_CAMERAS	30
NO_OF_MARKERS	1
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-02-21, 11:05:44.077	92468.31079140
DATA_INCLUDED	3D
MARKER_NAMES	COM
TRAJECTORY_TYPES	Measured
Frame	Time	COM X	COM Y	COM Z	
404	1.34333	541.088	1526.127	897.526
405	1.34667	541.080	1526.025	897.515
406	1.35000	541.077	1526.006	897.553
407	1.35333	541.041	1525.932	897.563
408	1.35667	540.983	1525.930	897.563
409	1.36000	540.997	1525.891	897.542
410	1.36333	541.000	1525.823	897.514
411	1.36667	540.991	1525.758	897.530
412	1.37000	541.041	1525.726	897.515
413	1.37333	541.003	1525.699	897.465
414	1.37667	541.022	1525.660	897.463
415	1.38000	541.021	1525.592	897.464
416	1.38333	541.020	1525.604	897.410
417	1.38667	541.050	1525.576	897.398
418	1.39000	541.044	1525.557	897.433
419	1.39333	541.034	1525.499	897.396
420	1.39667	541.052	1525.507	897.391
421	1.40000	541.050	1525.472	897.392
422	1.40333	541.077	1525.435	897.411
423	1.40667	541.032	1525.431	897.410
424	1.41000	541.041	1525.431	897.396
425	1.41333	541.005	1525.356	897.423
426	1.41667	540.959	1525.371	897.468
427	1.42000	540.945	1525.337	897.462
428	1.42333	540.926	1525.339	897.439
429	1.42667	540.886	1525.239	897.494
430	1.43000	540.819	1525.275	897.508
431	1.43333	540.794	1525.233	897.511
432	1.43667	540.780	1525.226	897.496
433	1.44000	540.727	1525.226	897.499
434	1.44333	540.703	1525.197	897.465
435	1.44667	540.657	1525.204	897.414
436	1.45000	540.582	1525.214	897.395
437	1.45333	540.548	1525.207	897.356
438	1.45667	540.552	1525.218	897.320
439	1.46000	540.459	1525.190	897.313
440	1.46333	540.439	1525.181	897.190
441	1.46667	540.430	1525.179	897.195
442	1.47000	540.380	1525.167	897.222
443	1.47333	540.341	1525.189	897.147
444	1.47667	540.293	1525.201	897.103
445	1.48000	540.308	1525.194	897.127
446	1.48333	540.279	1525.211	897.045
447	1.48667	540.214	1525.206	897.062
448	1.49000	540.218	1525.252	897.038
449	1.49333	540.143	1525.221	897.011
450	1.49667	540.162	1525.262	896.969
451	1.50000	540.122	1525.261	896.959
452	1.50333	540.083	1525.265	896.945
453	1.50667	540.093	1525.226	896.963
454	1.51000	540.138	1525.294	896.941
455	1.51333	540.079	1525.256	896.949
456	1.51667	540.030	1525.308	896.867
457	1.52000	540.038	1525.347	896.866
458	1.52333	540.006	1525.337	896.890
459	1.52667	539.974	1525.388	896.852
460	1.53000	539.937	1525.334	896.889
461	1.53333	539.943	1525.424	896.828
462	1.53667	539.880	1525.381	896.880
463	1.54000	539.828	1525.386	896.860
464	1.54333	539.774	1525.427	896.814
465	1.54667	539.762	1525.425	896.820
466	1.55000	539.753	1525.458	896.834
467	1.55333	539.667	1525.505	896.783
468	1.55667	539.634	1525.512	896.758
469	1.56000	539.551	1525.525	896.711
470	1.56333	539.493	1525.540	896.736
471	1.56667	539.490	1525.543	896.709
472	1.57000	539.409	1525.552	896.656
473	1.57333	539.399	1525.552	896.645
474	1.57667	539.367	1525.557	896.596
475	1.58000	539.328	1525.583	896.616
476	1.58333	539.336	1525.597	896.540
477	1.58667	539.305	1525.605	896.502
478	1.59000	539.272	1525.653	896.436
479	1.59333	539.285	1525.705	896.362
480	1.59667	539.226	1525.710	896.334
481	1.60000	539.243	1525.712	896.331
482	1.60333	539.221	1525.779	896.218
483	1.60667	539.219	1525.777	896.199
484	1.61000	539.202	1525.803	896.137
485	1.61333	539.185	1525.832	896.127
486	1.61667	539.189	1525.859	896.032
487	1.62000	539.133	1525.892	896.047
488	1.62333	539.100	1525.909	895.978
489	1.62667	539.093	1525.957	895.944
490	1.63000	539.043	1525.953	895.922
491	1.63333	538.998	1526.033	895.867
492	1.63667	539.001	1526.040	895.843
493	1.64000	538.923	1526.105	895.831
494	1.64333	538.939	1526.192	895.762
495	1.64667	538.876	1526.183	895.764
496	1.65000	538.836	1526.256	895.755
497	1.65333	538.819	1526.284	895.758
498	1.65667	538.752	1526.339	895.680
499	1.66000	538.749	1526.382	895.745
500	1.66333	538.641	1526.432	895.689
501	1.66667	538.571	1526.468	895.676
502	1.67000	538.523	1526.562	895.700
503	1.67333	538.483	1526.531	895.693
504	1.67667	538.489	1526.615	895.737
505	1.68000	538.514	1526.589	895.814
506	1.68333	538.351	1526.716	895.739
507	1.68667	538.272	1526.753	895.712
508	1.69000	538.283	1526.809	895.669
509	1.69333	538.223	1526.864	895.602
510	1.69667	538.161	1526.892	895.600
511	1.70000	538.099	1526.931	895.550
512	1.70333	538.057	1527.006	895.444
513	1.70667	538.022	1527.070	895.467
514	1.71000	538.000	1527.119	895.394
515	1.71333	537.948	1527.145	895.391
516	1.71667	537.930	1527.242	895.322
517	1.72000	537.906	1527.259	895.259
518	1.72333	537.801	1527.301	895.214
519	1.72667	537.787	1527.334	895.213
520	1.73000	537.792	1527.401	895.200
521	1.73333	537.742	1527.440	895.198
522	1.73667	537.690	1527.448	895.165
523	1.74000	537.735	1527.532	895.120
524	1.74333	537.648	1527.523	895.152
525	1.74667	537.612	1527.565	895.134
526	1.75000	537.625	1527.587	895.169
527	1.75333	537.592	1527.623	895.144
528	1.75667	537.452	1527.661	895.158
529	1.76000	537.485	1527.677	895.189
530	1.76333	537.471	1527.706	895.234
531	1.76667	537.412	1527.715	895.209
532	1.77000	537.371	1527.816	895.215
533	1.77333	537.290	1527.806	895.229
534	1.77667	537.226	1527.840	895.230
535	1.78000	537.202	1527.888	895.167
536	1.78333	537.123	1527.905	895.225
537	1.78667	537.041	1527.948	895.199
538	1.79000	536.942	1527.995	895.243
539	1.79333	536.891	1528.029	895.227
540	1.79667	536.809	1528.058	895.240
541	1.80000	536.703	1528.151	895.247
542	1.80333	536.641	1528.145	895.243
543	1.80667	536.548	1528.237	895.274
544	1.81000	536.459	1528.225	895.303
545	1.81333	536.395	1528.323	895.320
546	1.81667	536.351	1528.383	895.360
547	1.82000	536.266	1528.447	895.348
548	1.82333	536.184	1528.461	895.428
549	1.82667	536.173	1528.539	895.407
550	1.83000	536.108	1528.519	895.463
551	1.83333	536.131	1528.551	895.486
552	1.83667	536.063	1528.613	895.507
553	1.84000	536.065	1528.647	895.516
554	1.84333	536.125	1528.716	895.557
555	1.84667	536.041	1528.716	895.643
556	1.85000	536.067	1528.782	895.668
557	1.85333	536.116	1528.788	895.661
558	1.85667	536.124	1528.858	895.656
559	1.86000	536.165	1528.914	895.706
560	1.86333	536.187	1528.945	895.737
561	1.86667	536.170	1529.008	895.769
562	1.87000	536.148	1528.985	895.750
563	1.87333	536.199	1529.083	895.768
564	1.87667	536.157	1529.084	895.784
565	1.88000	536.188	1529.116	895.803
566	1.88333	536.202	1529.142	895.839
567	1.88667	536.158	1529.175	895.859
568	1.89000	536.168	1529.179	895.861
569	1.89333	536.191	1529.201	895.931
570	1.89667	536.182	1529.207	895.912
571	1.90000	536.242	1529.297	895.886
572	1.90333	536.245	1529.256	895.918
573	1.90667	536.284	1529.290	895.948
574	1.91000	536.362	1529.334	895.908
575	1.91333	536.321	1529.324	895.954
576	1.91667	536.308	1529.348	895.980
577	1.92000	536.373	1529.408	895.917
578	1.92333	536.403	1529.442	895.943
579	1.92667	536.338	1529.381	895.993
580	1.93000	536.365	1529.430	895.966
581	1.93333	536.460	1529.484	895.915
582	1.93667	536.315	1529.441	896.020
583	1.94000	536.311	1529.478	895.995
584	1.94333	536.292	1529.469	896.010
585	1.94667	536.286	1529.468	896.004
586	1.95000	536.256	1529.462	896.024
587	1.95333	536.212	1529.503	895.989
588	1.95667	536.189	1529.453	896.027
589	1.96000	536.155	1529.444	896.066
590	1.96333	536.104	1529.476	896.070
591	1.96667	536.018	1529.462	896.112
592	1.97000	536.005	1529.502	896.071
593	1.97333	535.948	1529.467	896.090
594	1.97667	535.905	1529.489	896.133
595	1.98000	535.919	1529.526	896.116
596	1.98333	535.897	1529.522	896.155
597	1.98667	535.887	1529.537	896.220
598	1.99000	535.886	1529.543	896.223
599	1.99333	535.869	1529.572	896.233
600	1.99667	535.830	1529.593	896.282
601	2.00000	535.811	1529.586	896.309
602	2.00333	535.776	1529.607	896.375
603	2.00667	535.797	1529.632	896.408
604	2.01000	535.763	1529.620	896.441
605	2.01333	535.736	1529.645	896.472
606	2.01667	535.707	1529.659	896.544
607	2.02000	535.674	1529.653	896.576
608	2.02333	535.656	1529.666	896.642
609	2.02667	535.607	1529.701	896.638
610	2.03000	535.560	1529.653	896.675
611	2.03333	535.512	1529.674	896.715
612	2.03667	535.448	1529.652	896.762
613	2.04000	535.465	1529.697	896.737
614	2.04333	535.408	1529.681	896.777
615	2.04667	535.337	1529.674	896.802
616	2.05000	535.350	1529.715	896.778
617	2.05333	535.302	1529.748	896.774
618	2.05667	535.270	1529.711	896.748
619	2.06000	535.218	1529.707	896.764
620	2.06333	535.202	1529.760	896.705
621	2.06667	535.192	1529.771	896.668
